d R_spp
220.96499999999997 0.9878289262423912
221.965 0.9878497446678736
222.965 0.9878697881389806
223.96499999999997  0.987889085496796
224.96499999999997 0.9879076645092851
225.96499999999997 0.9879255519112328
226.96499999999997 0.9879427734426677
227.96499999999997  0.987959353885846
228.96499999999997 0.9879753171009179
229.96499999999997 0.9879906860601879
230.96499999999997 0.9880054828811704
231.965 0.9880197288583777
232.965 0.9880334444939445
233.96499999999997  0.988046649527085
234.96499999999997 0.9880593629625015
235.96499999999997 0.9880716030976886
236.96499999999997 0.9880833875492521
237.96499999999997 0.9880947332782466
238.96499999999997 0.9881056566145401
239.96499999999997 0.9881161732803325
240.96499999999997 0.9881262984127259
241.965 0.9881360465855247
242.96499999999997 0.9881454318301686
243.96499999999997 0.9881544676559265
244.96499999999997 0.9881631670693242
245.96499999999995 0.9881715425928368
246.96499999999997 0.9881796062829097
247.965 0.9881873697472977
248.96499999999997   0.98819484416175
249.965 0.9882020402861057
250.96499999999997 0.9882089684797358
251.965  0.988215638716481
252.96499999999995 0.9882220605989652
253.96499999999997 0.9882282433724221
254.96499999999995 0.9882341959380079
255.96499999999997 0.9882399268655713
256.96500000000003 0.9882454444060099
257.965 0.9882507565031226
258.965 0.9882558708050567
259.965 0.9882607946752741
260.965 0.9882655352031904
261.965 0.9882700992143263
262.965 0.9882744932801676
263.965 0.9882787237275945
264.965 0.9882827966479936
265.96500000000003 0.9882867179060086
266.965 0.9882904931480133
267.965  0.988294127810179
268.965 0.9882976271263532
269.965 0.9883009961355472
270.965 0.9883042396892118
271.965 0.9883073624582097
272.965 0.9883103689395275
273.965 0.9883132634627599
274.965  0.988316050196344
275.965  0.988318733153526
276.965 0.9883213161981792
277.965 0.9883238030503279
278.965 0.9883261972915275
279.965 0.9883285023699983
280.965 0.9883307216055992
281.965 0.9883328581946004
282.965 0.9883349152142845
283.965 0.9883368956273798
284.965 0.9883388022863161
285.96500000000003 0.9883406379373323
286.965 0.9883424052244358
287.965 0.9883441066932002
288.965  0.988345744794418
289.965 0.9883473218876639
290.965 0.9883488402446504
291.965 0.9883503020525252
292.965 0.9883517094170037
293.965 0.9883530643654087
294.965 0.9883543688495761
295.965 0.9883556247486864
296.965 0.9883568338719512
297.965 0.9883579979612228
298.965 0.9883591186935006
299.965 0.9883601976833473
300.965 0.9883612364852132
301.965 0.9883622365956776
302.965 0.9883631994555853
303.965 0.9883641264521448
304.965 0.9883650189209218
305.965 0.9883658781477256
306.965 0.9883667053705223
307.965   0.98836750178117
308.965 0.9883682685271502
309.965 0.9883690067132143
310.965 0.9883697174029833
311.965 0.9883704016204711
312.965 0.9883710603515677
313.965 0.9883716945454502
314.965 0.9883723051159494
315.965 0.9883728929428713
316.965 0.9883734588732608
317.965 0.9883740037226241
318.965 0.9883745282760938
319.965 0.9883750332895749
320.965 0.9883755194908204
321.965 0.9883759875804797
322.965 0.9883764382331173
323.965 0.9883768720981758
324.965 0.9883772898009104
325.965 0.9883776919433044
326.965  0.988378079104905
327.965 0.9883784518437009
328.965  0.988378810696876
329.965 0.9883791561816294
330.965 0.9883794887958868
331.965 0.9883798090190421
332.965 0.9883801173126331
333.965 0.9883804141209964
334.965 0.9883806998719386
335.965   0.98838097497733
336.965 0.9883812398336999
337.965 0.9883814948228047
338.965  0.988381740312191
339.965 0.9883819766557169
340.965 0.9883822041940551
341.965 0.9883824232552024
342.965 0.9883826341549268
